45.0	9.0	38.06
46.0	10.0	18.4
44.0	8.0	36.64
45.0	9.0	31.62
46.0	10.0	9.25
44.0	8.0	0.66
45.0	9.0	19.72
46.0	10.0	3.66
44.0	8.0	-7.14
45.0	9.0	1.32
46.0	10.0	34.93
44.0	8.0	6.46
45.0	9.0	0.38
46.0	10.0	26.64
44.0	8.0	-2.87
45.0	9.0	14.44
46.0	10.0	24.94
44.0	8.0	-8.01
45.0	9.0	23.39
46.0	10.0	30.18
44.0	8.0	22.83
45.0	9.0	0.58
46.0	10.0	-2.46
44.0	8.0	-4.4
45.0	9.0	-8.89
46.0	10.0	-0.24
44.0	8.0	36.56
45.0	9.0	38.83
46.0	10.0	16.13
44.0	8.0	6.29
45.0	9.0	26.73
46.0	10.0	37.72
44.0	8.0	27.54
45.0	9.0	17.37
46.0	10.0	-4.08
44.0	8.0	-3.02
45.0	9.0	4.67
46.0	10.0	23.54
44.0	8.0	39.66
45.0	9.0	25.07
46.0	10.0	2.62
44.0	8.0	33.14
45.0	9.0	36.58
46.0	10.0	32.73
44.0	8.0	2.8
