45.0	9.0	-6.3
46.0	10.0	5.82
44.0	8.0	6.27
45.0	9.0	29.91
46.0	10.0	-3.24
44.0	8.0	23.65
45.0	9.0	18.94
46.0	10.0	0.72
44.0	8.0	-5.41
45.0	9.0	13.91
46.0	10.0	-8.98
44.0	8.0	13.97
45.0	9.0	-3.39
46.0	10.0	1.38
44.0	8.0	14.88
45.0	9.0	-0.44
46.0	10.0	22.88
44.0	8.0	-8.86
45.0	9.0	13.33
46.0	10.0	34.24
44.0	8.0	21.46
45.0	9.0	9.39
46.0	10.0	39.8
44.0	8.0	16.01
45.0	9.0	6.27
46.0	10.0	22.89
44.0	8.0	32.1
45.0	9.0	-9.28
46.0	10.0	22.91
44.0	8.0	13.22
45.0	9.0	-1.2
46.0	10.0	13.02
44.0	8.0	-4.87
45.0	9.0	38.75
46.0	10.0	7.44
44.0	8.0	-2.09
45.0	9.0	29.26
46.0	10.0	-7.61
44.0	8.0	8.35
45.0	9.0	36.68
46.0	10.0	22.45
44.0	8.0	7.15
45.0	9.0	7.03
46.0	10.0	30.76
44.0	8.0	-9.3
