45.0	9.0	19.07
46.0	10.0	11.13
44.0	8.0	15.3
45.0	9.0	20.96
46.0	10.0	-0.74
44.0	8.0	5.77
45.0	9.0	35.82
46.0	10.0	21.25
44.0	8.0	-1.07
45.0	9.0	27.43
46.0	10.0	19.16
44.0	8.0	24.65
45.0	9.0	0.63
46.0	10.0	38.33
44.0	8.0	8.0
45.0	9.0	27.94
46.0	10.0	7.17
44.0	8.0	25.01
45.0	9.0	10.54
46.0	10.0	37.74
44.0	8.0	-1.35
45.0	9.0	1.09
46.0	10.0	25.57
44.0	8.0	1.92
45.0	9.0	33.19
46.0	10.0	-5.93
44.0	8.0	27.88
45.0	9.0	3.69
46.0	10.0	3.38
44.0	8.0	12.84
45.0	9.0	-8.58
46.0	10.0	1.33
44.0	8.0	30.58
45.0	9.0	27.55
46.0	10.0	5.83
44.0	8.0	32.49
45.0	9.0	20.87
46.0	10.0	-3.86
44.0	8.0	30.91
45.0	9.0	-4.4
46.0	10.0	-0.14
44.0	8.0	35.34
45.0	9.0	19.93
46.0	10.0	19.11
44.0	8.0	14.11
45.0	9.0	11.87
46.0	10.0	13.22
44.0	8.0	14.36
45.0	9.0	-6.49
46.0	10.0	12.0
44.0	8.0	-7.68
